Region,Building type,Number of rooms,Form of ownership of plot,Year,Information,value
Whole country,Terraced houses,Total,Own plot,2024,Price per square meter (eur/m2),3827.0
Whole country,Terraced houses,Total,Rented plot,2015,Number,592.0
Whole country,Terraced houses,Total,Rented plot,2015,Price per square meter (eur/m2),2749.0
Whole country,Terraced houses,Total,Rented plot,2016,Number,686.0
Whole country,Terraced houses,Total,Rented plot,2016,Price per square meter (eur/m2),2892.0
Whole country,Terraced houses,Total,Rented plot,2017,Number,799.0
Whole country,Terraced houses,Total,Rented plot,2017,Price per square meter (eur/m2),2952.0
Whole country,Terraced houses,Total,Rented plot,2018,Number,746.0
Whole country,Terraced houses,Total,Rented plot,2018,Price per square meter (eur/m2),3078.0
Whole country,Terraced houses,Total,Rented plot,2019,Number,874.0
Whole country,Terraced houses,Total,Rented plot,2019,Price per square meter (eur/m2),3139.0
Whole country,Terraced houses,Total,Rented plot,2020,Number,847.0
Whole country,Terraced houses,Total,Rented plot,2020,Price per square meter (eur/m2),3271.0
Whole country,Terraced houses,Total,Rented plot,2021,Number,965.0
Whole country,Terraced houses,Total,Rented plot,2021,Price per square meter (eur/m2),3421.0
Whole country,Terraced houses,Total,Rented plot,2022,Number,605.0
Whole country,Terraced houses,Total,Rented plot,2022,Price per square meter (eur/m2),3559.0
Whole country,Terraced houses,Total,Rented plot,2023,Number,187.0
Whole country,Terraced houses,Total,Rented plot,2023,Price per square meter (eur/m2),3500.0
Whole country,Terraced houses,Total,Rented plot,2024,Number,168.0
Whole country,Terraced houses,Total,Rented plot,2024,Price per square meter (eur/m2),3541.0
Whole country,Terraced houses,Total,Plot forms in total,2015,Number,1495.0
Whole country,Terraced houses,Total,Plot forms in total,2015,Price per square meter (eur/m2),2935.0
Whole country,Terraced houses,Total,Plot forms in total,2016,Number,1499.0
Whole country,Terraced houses,Total,Plot forms in total,2016,Price per square meter (eur/m2),3009.0
Whole country,Terraced houses,Total,Plot forms in total,2017,Number,1792.0
Whole country,Terraced houses,Total,Plot forms in total,2017,Price per square meter (eur/m2),3119.0
Whole country,Terraced houses,Total,Plot forms in total,2018,Number,1770.0
Whole country,Terraced houses,Total,Plot forms in total,2018,Price per square meter (eur/m2),3239.0
Whole country,Terraced houses,Total,Plot forms in total,2019,Number,1708.0
Whole country,Terraced houses,Total,Plot forms in total,2019,Price per square meter (eur/m2),3359.0
Whole country,Terraced houses,Total,Plot forms in total,2020,Number,1628.0
Whole country,Terraced houses,Total,Plot forms in total,2020,Price per square meter (eur/m2),3425.0
Whole country,Terraced houses,Total,Plot forms in total,2021,Number,1874.0
Whole country,Terraced houses,Total,Plot forms in total,2021,Price per square meter (eur/m2),3668.0
Whole country,Terraced houses,Total,Plot forms in total,2022,Number,1198.0
Whole country,Terraced houses,Total,Plot forms in total,2022,Price per square meter (eur/m2),3804.0
Whole country,Terraced houses,Total,Plot forms in total,2023,Number,401.0
Whole country,Terraced houses,Total,Plot forms in total,2023,Price per square meter (eur/m2),3590.0
Whole country,Terraced houses,Total,Plot forms in total,2024,Number,342.0
Whole country,Terraced houses,Total,Plot forms in total,2024,Price per square meter (eur/m2),3698.0
Whole country,Terraced houses,One-room flat,Own plot,2015,Number,
Whole country,Terraced houses,One-room flat,Own plot,2015,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2016,Number,
Whole country,Terraced houses,One-room flat,Own plot,2016,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2017,Number,
Whole country,Terraced houses,One-room flat,Own plot,2017,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2018,Number,
Whole country,Terraced houses,One-room flat,Own plot,2018,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2019,Number,
Whole country,Terraced houses,One-room flat,Own plot,2019,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2020,Number,
Whole country,Terraced houses,One-room flat,Own plot,2020,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2021,Number,
Whole country,Terraced houses,One-room flat,Own plot,2021,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2022,Number,
Whole country,Terraced houses,One-room flat,Own plot,2022,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2023,Number,
Whole country,Terraced houses,One-room flat,Own plot,2023,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Own plot,2024,Number,
Whole country,Terraced houses,One-room flat,Own plot,2024,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2015,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2015,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2016,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2016,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2017,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2017,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2018,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2018,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2019,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2019,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2020,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2020,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2021,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2021,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2022,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2022,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2023,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2023,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Rented plot,2024,Number,
Whole country,Terraced houses,One-room flat,Rented plot,2024,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2015,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2015,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2016,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2016,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2017,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2017,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2018,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2018,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2019,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2019,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2020,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2020,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2021,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2021,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2022,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2022,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2023,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2023,Price per square meter (eur/m2),
Whole country,Terraced houses,One-room flat,Plot forms in total,2024,Number,
Whole country,Terraced houses,One-room flat,Plot forms in total,2024,Price per square meter (eur/m2),
Whole country,Terraced houses,Two-room flat,Own plot,2015,Number,
